City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
273,Bonga,ET,7.2833,36.2333,59.63,70,41,2.04,scattered clouds
274,Katherine,AU,-14.4667,132.2667,77.32,94,100,5.75,moderate rain
275,Chara,RU,56.9064,118.2631,-37.28,90,100,2.46,overcast clouds
276,Pachelma,RU,53.2443,43.3521,19.56,86,100,15.7,overcast clouds
277,Vila,PT,42.0304,-8.1588,29.28,94,26,3.71,scattered clouds
278,Whitecourt,CA,54.1502,-115.6855,15.04,100,75,8.05,mist
279,San Lorenzo,PY,-25.3333,-57.5333,92.59,49,75,17.27,broken clouds
280,Nishihara,JP,26.1842,127.7558,60.08,67,75,12.66,broken clouds
281,Hasaki,JP,35.7333,140.8333,37.22,60,99,17.65,overcast clouds
282,Key West,US,24.5557,-81.7826,78.8,70,20,14.97,few clouds
283,Mehamn,NO,71.0357,27.8492,28.35,74,75,14.97,light snow
284,Maldonado,UY,-34.6667,-54.9167,78.19,52,93,16.17,overcast clouds
285,Aripuana,BR,-9.1667,-60.6333,73.27,96,100,0.81,overcast clouds
286,Springdale,US,36.1867,-94.1288,57.81,79,75,9.22,broken clouds
287,Tutoia,BR,-2.7619,-42.2744,79.57,82,98,13.33,moderate rain
288,Mahanoro,MG,-19.9,48.8,75.56,86,100,9.98,light rain
289,Plover,US,44.4564,-89.544,34.09,76,100,10.36,overcast clouds
290,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.69,88,0,11.25,clear sky
291,Pochutla,MX,15.7432,-96.4661,83.82,59,26,11.05,scattered clouds
292,Muroto,JP,33.2833,134.15,47.5,65,16,7.49,few clouds
293,Barrancabermeja,CO,7.0653,-73.8547,89.92,51,20,4.61,few clouds
294,Yarkovo,RU,57.4028,67.0786,10.26,95,93,6.2,overcast clouds
295,Mecca,SA,21.4267,39.8261,72.3,46,5,2.19,clear sky
296,Altamont,US,42.2068,-121.7372,38.79,75,100,16.11,overcast clouds
297,Gizo,SB,-8.103,156.8419,83.43,77,93,17.22,light rain
298,Port Hardy,CA,50.6996,-127.4199,37.58,100,100,6.91,light intensity shower rain
299,Gat,IL,31.61,34.7642,60.4,62,0,3.69,clear sky
300,Rafaela,AR,-31.2503,-61.4867,88.0,39,55,3.0,broken clouds
